"year","population","count"
1985,"Carmacks",14
1985,"LowerMainstem",6
1985,"MiddleMainstem",19
1985,"Pelly",13
1985,"Stewart",15
1985,"Teslin",12
1985,"UpperMainstem",21
1985,"White-Donjek",10
1986,"Carmacks",11
1986,"LowerMainstem",11
1986,"MiddleMainstem",11
1986,"Pelly",11
1986,"Stewart",11
1986,"Teslin",11
1986,"UpperMainstem",6
1986,"White-Donjek",11
1987,"Carmacks",0
1987,"LowerMainstem",0
1987,"MiddleMainstem",4
1987,"Pelly",0
1987,"Stewart",0
1987,"Teslin",0
1987,"UpperMainstem",5
1987,"White-Donjek",0
1988,"Carmacks",29
1988,"LowerMainstem",1
1988,"MiddleMainstem",22
1988,"Pelly",13
1988,"Stewart",16
1988,"Teslin",25
1988,"UpperMainstem",13
1988,"White-Donjek",8
1989,"Carmacks",2
1989,"LowerMainstem",2
1989,"MiddleMainstem",0
1989,"Pelly",2
1989,"Stewart",2
1989,"Teslin",2
1989,"UpperMainstem",0
1989,"White-Donjek",2
1990,"Carmacks",0
1990,"LowerMainstem",0
1990,"MiddleMainstem",0
1990,"Pelly",0
1990,"Stewart",0
1990,"Teslin",0
1990,"UpperMainstem",0
1990,"White-Donjek",0
1991,"Carmacks",27
1991,"LowerMainstem",10
1991,"MiddleMainstem",27
1991,"Pelly",20
1991,"Stewart",23
1991,"Teslin",24
1991,"UpperMainstem",23
1991,"White-Donjek",23
1992,"Carmacks",24
1992,"LowerMainstem",18
1992,"MiddleMainstem",25
1992,"Pelly",20
1992,"Stewart",21
1992,"Teslin",20
1992,"UpperMainstem",28
1992,"White-Donjek",19
1993,"Carmacks",10
1993,"LowerMainstem",0
1993,"MiddleMainstem",15
1993,"Pelly",3
1993,"Stewart",3
1993,"Teslin",5
1993,"UpperMainstem",21
1993,"White-Donjek",0
1994,"Carmacks",6
1994,"LowerMainstem",0
1994,"MiddleMainstem",6
1994,"Pelly",0
1994,"Stewart",0
1994,"Teslin",0
1994,"UpperMainstem",9
1994,"White-Donjek",0
1995,"Carmacks",8
1995,"LowerMainstem",0
1995,"MiddleMainstem",13
1995,"Pelly",5
1995,"Stewart",4
1995,"Teslin",8
1995,"UpperMainstem",14
1995,"White-Donjek",1
1996,"Carmacks",5
1996,"LowerMainstem",0
1996,"MiddleMainstem",5
1996,"Pelly",5
1996,"Stewart",5
1996,"Teslin",5
1996,"UpperMainstem",6
1996,"White-Donjek",4
1997,"Carmacks",11
1997,"LowerMainstem",6
1997,"MiddleMainstem",13
1997,"Pelly",11
1997,"Stewart",11
1997,"Teslin",11
1997,"UpperMainstem",11
1997,"White-Donjek",8
1998,"Carmacks",7
1998,"LowerMainstem",0
1998,"MiddleMainstem",0
1998,"Pelly",4
1998,"Stewart",8
1998,"Teslin",8
1998,"UpperMainstem",0
1998,"White-Donjek",2
1999,"Carmacks",8
1999,"LowerMainstem",8
1999,"MiddleMainstem",6
1999,"Pelly",8
1999,"Stewart",8
1999,"Teslin",8
1999,"UpperMainstem",5
1999,"White-Donjek",8
2000,"Carmacks",12
2000,"LowerMainstem",8
2000,"MiddleMainstem",12
2000,"Pelly",12
2000,"Stewart",12
2000,"Teslin",12
2000,"UpperMainstem",11
2000,"White-Donjek",11
2001,"Carmacks",0
2001,"LowerMainstem",0
2001,"MiddleMainstem",0
2001,"Pelly",0
2001,"Stewart",0
2001,"Teslin",0
2001,"UpperMainstem",0
2001,"White-Donjek",0
2002,"Carmacks",3
2002,"LowerMainstem",0
2002,"MiddleMainstem",4
2002,"Pelly",0
2002,"Stewart",1
2002,"Teslin",3
2002,"UpperMainstem",14
2002,"White-Donjek",0
2003,"Carmacks",10
2003,"LowerMainstem",0
2003,"MiddleMainstem",10
2003,"Pelly",8
2003,"Stewart",8
2003,"Teslin",7
2003,"UpperMainstem",10
2003,"White-Donjek",3
2004,"Carmacks",24
2004,"LowerMainstem",11
2004,"MiddleMainstem",30
2004,"Pelly",19
2004,"Stewart",20
2004,"Teslin",19
2004,"UpperMainstem",31
2004,"White-Donjek",17
2005,"Carmacks",18
2005,"LowerMainstem",17
2005,"MiddleMainstem",19
2005,"Pelly",17
2005,"Stewart",17
2005,"Teslin",17
2005,"UpperMainstem",16
2005,"White-Donjek",17
2006,"Carmacks",3
2006,"LowerMainstem",1
2006,"MiddleMainstem",3
2006,"Pelly",2
2006,"Stewart",1
2006,"Teslin",3
2006,"UpperMainstem",3
2006,"White-Donjek",3
2007,"Carmacks",32
2007,"LowerMainstem",15
2007,"MiddleMainstem",27
2007,"Pelly",16
2007,"Stewart",12
2007,"Teslin",21
2007,"UpperMainstem",20
2007,"White-Donjek",27
2008,"Carmacks",4
2008,"LowerMainstem",4
2008,"MiddleMainstem",4
2008,"Pelly",4
2008,"Stewart",4
2008,"Teslin",4
2008,"UpperMainstem",0
2008,"White-Donjek",4
2009,"Carmacks",16
2009,"LowerMainstem",8
2009,"MiddleMainstem",16
2009,"Pelly",10
2009,"Stewart",2
2009,"Teslin",13
2009,"UpperMainstem",15
2009,"White-Donjek",8
2010,"Carmacks",8
2010,"LowerMainstem",8
2010,"MiddleMainstem",8
2010,"Pelly",8
2010,"Stewart",8
2010,"Teslin",8
2010,"UpperMainstem",4
2010,"White-Donjek",8
2011,"Carmacks",0
2011,"LowerMainstem",0
2011,"MiddleMainstem",0
2011,"Pelly",0
2011,"Stewart",0
2011,"Teslin",0
2011,"UpperMainstem",0
2011,"White-Donjek",0
2012,"Carmacks",2
2012,"LowerMainstem",2
2012,"MiddleMainstem",2
2012,"Pelly",2
2012,"Stewart",2
2012,"Teslin",2
2012,"UpperMainstem",1
2012,"White-Donjek",2
2013,"Carmacks",4
2013,"LowerMainstem",1
2013,"MiddleMainstem",9
2013,"Pelly",1
2013,"Stewart",1
2013,"Teslin",1
2013,"UpperMainstem",15
2013,"White-Donjek",1
2014,"Carmacks",7
2014,"LowerMainstem",5
2014,"MiddleMainstem",7
2014,"Pelly",7
2014,"Stewart",0
2014,"Teslin",6
2014,"UpperMainstem",7
2014,"White-Donjek",3
2015,"Carmacks",26
2015,"LowerMainstem",23
2015,"MiddleMainstem",20
2015,"Pelly",28
2015,"Stewart",17
2015,"Teslin",28
2015,"UpperMainstem",13
2015,"White-Donjek",26
2016,"Carmacks",25
2016,"LowerMainstem",16
2016,"MiddleMainstem",25
2016,"Pelly",20
2016,"Stewart",9
2016,"Teslin",23
2016,"UpperMainstem",16
2016,"White-Donjek",25
2017,"Carmacks",19
2017,"LowerMainstem",8
2017,"MiddleMainstem",30
2017,"Pelly",16
2017,"Stewart",3
2017,"Teslin",13
2017,"UpperMainstem",33
2017,"White-Donjek",24
2018,"Carmacks",14
2018,"LowerMainstem",6
2018,"MiddleMainstem",18
2018,"Pelly",9
2018,"Stewart",6
2018,"Teslin",8
2018,"UpperMainstem",14
2018,"White-Donjek",8
2019,"Carmacks",34
2019,"LowerMainstem",29
2019,"MiddleMainstem",30
2019,"Pelly",33
2019,"Stewart",23
2019,"Teslin",33
2019,"UpperMainstem",23
2019,"White-Donjek",33
