"year","population","yday17","run_day"
1985,"Carmacks",202,21
1985,"LowerMainstem",202,29
1985,"MiddleMainstem",202,16
1985,"Pelly",202,22
1985,"Stewart",202,20
1985,"Teslin",202,23
1985,"UpperMainstem",202,5
1985,"White-Donjek",202,25
1986,"Carmacks",183,12
1986,"LowerMainstem",183,19
1986,"MiddleMainstem",183,6
1986,"Pelly",183,13
1986,"Stewart",183,11
1986,"Teslin",183,12
1986,"UpperMainstem",188,1
1986,"White-Donjek",183,14
1987,"MiddleMainstem",209,31
1987,"UpperMainstem",209,23
1988,"Carmacks",185,1
1988,"LowerMainstem",185,34
1988,"MiddleMainstem",194,2
1988,"Pelly",185,20
1988,"Stewart",185,16
1988,"Teslin",185,8
1988,"UpperMainstem",203,1
1988,"White-Donjek",185,25
1989,"Carmacks",188,2
1989,"LowerMainstem",188,30
1989,"Pelly",188,18
1989,"Stewart",188,14
1989,"Teslin",188,9
1989,"White-Donjek",188,23
1991,"Carmacks",184,5
1991,"LowerMainstem",184,25
1991,"MiddleMainstem",184,3
1991,"Pelly",184,15
1991,"Stewart",184,11
1991,"Teslin",184,9
1991,"UpperMainstem",188,1
1991,"White-Donjek",184,12
1992,"Carmacks",181,3
1992,"LowerMainstem",181,11
1992,"MiddleMainstem",187,5
1992,"Pelly",181,7
1992,"Stewart",181,6
1992,"Teslin",181,8
1992,"UpperMainstem",195,1
1992,"White-Donjek",181,8
1993,"Carmacks",198,25
1993,"MiddleMainstem",198,20
1993,"Pelly",198,32
1993,"Stewart",198,32
1993,"Teslin",198,30
1993,"UpperMainstem",198,11
1994,"Carmacks",207,26
1994,"MiddleMainstem",207,29
1994,"UpperMainstem",207,17
1995,"Carmacks",199,25
1995,"MiddleMainstem",199,20
1995,"Pelly",199,29
1995,"Stewart",199,30
1995,"Teslin",199,25
1995,"UpperMainstem",199,9
1995,"White-Donjek",199,34
1996,"Carmacks",189,20
1996,"MiddleMainstem",189,14
1996,"Pelly",189,25
1996,"Stewart",189,24
1996,"Teslin",189,25
1996,"UpperMainstem",191,1
1996,"White-Donjek",189,29
1997,"Carmacks",184,8
1997,"LowerMainstem",184,24
1997,"MiddleMainstem",184,4
1997,"Pelly",184,11
1997,"Stewart",184,10
1997,"Teslin",184,10
1997,"UpperMainstem",201,9
1997,"White-Donjek",184,16
1998,"Carmacks",196,3
1998,"Pelly",188,18
1998,"Stewart",188,10
1998,"Teslin",188,2
1998,"White-Donjek",188,25
1999,"Carmacks",179,2
1999,"LowerMainstem",179,10
1999,"MiddleMainstem",181,1
1999,"Pelly",179,3
1999,"Stewart",179,3
1999,"Teslin",179,3
1999,"UpperMainstem",192,3
1999,"White-Donjek",179,5
2000,"Carmacks",188,12
2000,"LowerMainstem",188,24
2000,"MiddleMainstem",188,9
2000,"Pelly",188,15
2000,"Stewart",188,16
2000,"Teslin",188,14
2000,"UpperMainstem",189,1
2000,"White-Donjek",188,18
2002,"Carmacks",204,29
2002,"MiddleMainstem",204,26
2002,"Stewart",204,34
2002,"Teslin",204,30
2002,"UpperMainstem",204,15
2003,"Carmacks",192,21
2003,"MiddleMainstem",192,15
2003,"Pelly",192,24
2003,"Stewart",192,25
2003,"Teslin",192,26
2003,"UpperMainstem",192,1
2003,"White-Donjek",192,32
2004,"Carmacks",181,11
2004,"LowerMainstem",181,24
2004,"MiddleMainstem",181,4
2004,"Pelly",181,16
2004,"Stewart",181,15
2004,"Teslin",181,15
2004,"UpperMainstem",192,1
2004,"White-Donjek",181,18
2005,"Carmacks",174,2
2005,"LowerMainstem",174,10
2005,"MiddleMainstem",179,1
2005,"Pelly",174,5
2005,"Stewart",174,4
2005,"Teslin",174,4
2005,"UpperMainstem",187,1
2005,"White-Donjek",174,10
2006,"Carmacks",193,14
2006,"LowerMainstem",193,26
2006,"MiddleMainstem",193,8
2006,"Pelly",193,21
2006,"Stewart",193,32
2006,"Teslin",193,17
2006,"UpperMainstem",193,1
2006,"White-Donjek",193,18
2007,"Carmacks",185,3
2007,"LowerMainstem",185,20
2007,"MiddleMainstem",190,1
2007,"Pelly",185,19
2007,"Stewart",185,23
2007,"Teslin",185,14
2007,"UpperMainstem",198,1
2007,"White-Donjek",185,8
2008,"Carmacks",186,11
2008,"LowerMainstem",186,20
2008,"MiddleMainstem",186,2
2008,"Pelly",186,14
2008,"Stewart",186,26
2008,"Teslin",186,8
2008,"White-Donjek",186,18
2009,"Carmacks",193,16
2009,"LowerMainstem",193,27
2009,"MiddleMainstem",193,10
2009,"Pelly",193,24
2009,"Stewart",193,33
2009,"Teslin",193,21
2009,"UpperMainstem",194,1
2009,"White-Donjek",193,27
2010,"Carmacks",184,6
2010,"LowerMainstem",184,14
2010,"MiddleMainstem",184,1
2010,"Pelly",184,10
2010,"Stewart",184,20
2010,"Teslin",184,8
2010,"UpperMainstem",194,1
2010,"White-Donjek",184,15
2012,"Carmacks",193,13
2012,"LowerMainstem",193,21
2012,"MiddleMainstem",193,7
2012,"Pelly",193,17
2012,"Stewart",193,27
2012,"Teslin",193,16
2012,"UpperMainstem",194,1
2012,"White-Donjek",193,16
2013,"Carmacks",180,3
2013,"LowerMainstem",180,13
2013,"MiddleMainstem",208,26
2013,"Pelly",180,8
2013,"Stewart",180,18
2013,"Teslin",180,12
2013,"UpperMainstem",208,17
2013,"White-Donjek",180,8
2014,"Carmacks",188,14
2014,"LowerMainstem",188,29
2014,"MiddleMainstem",188,18
2014,"Pelly",188,23
2014,"Teslin",188,27
2014,"UpperMainstem",188,7
2014,"White-Donjek",188,31
2015,"Carmacks",175,1
2015,"LowerMainstem",173,12
2015,"MiddleMainstem",181,1
2015,"Pelly",173,6
2015,"Stewart",173,18
2015,"Teslin",173,4
2015,"UpperMainstem",189,1
2015,"White-Donjek",173,9
2016,"Carmacks",180,9
2016,"LowerMainstem",180,19
2016,"MiddleMainstem",181,1
2016,"Pelly",180,15
2016,"Stewart",180,26
2016,"Teslin",180,12
2016,"UpperMainstem",190,1
2016,"White-Donjek",180,5
2017,"Carmacks",188,16
2017,"LowerMainstem",188,27
2017,"MiddleMainstem",188,5
2017,"Pelly",188,19
2017,"Stewart",188,32
2017,"Teslin",188,22
2017,"UpperMainstem",194,1
2017,"White-Donjek",188,11
2018,"Carmacks",187,10
2018,"LowerMainstem",187,22
2018,"MiddleMainstem",187,4
2018,"Pelly",187,15
2018,"Stewart",187,27
2018,"Teslin",187,15
2018,"UpperMainstem",192,2
2018,"White-Donjek",187,16
2019,"Carmacks",178,1
2019,"LowerMainstem",166,5
2019,"MiddleMainstem",183,1
2019,"Pelly",172,1
2019,"Stewart",166,11
2019,"Teslin",172,1
2019,"UpperMainstem",190,1
2019,"White-Donjek",167,1
