Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,5877.9851
1983,5795.778451
1984,5693.131845
1985,4163.69355
1986,4143.986843
1987,5039.372326
1988,5485.081495
1989,5245.505497
1990,5315.558479
1991,5641.909758
1992,5879.519501
1993,5991.278798
1994,7136.353515
1995,5585.567118
1996,5670.92328
1997,6604.129786
1998,5850.819732
1999,4114.076489
2000,4754.940319
2001,5278.162407
2002,5121.117086
2003,5485.266752
2004,6117.401175
2005,6557.144437
2006,6150.028943
2007,5681.277086
2008,5594.939696
2009,4640.188788
2010,5872.404502
2011,5894.100025
2012,5256.788356
2013,5257.721162
2014,5635.47831
2015,4368.222261
2016,5403.136322
2017,5525.017805
2018,4063.447555
2019,4192.007729
2020,null
2021,4031.80228
