OID_,time,oc_PISST_SSTanom,lat,lon,depth
1,1948-07-01 0:00:00,-0.4178225,55.0000000,190.0000000,0.0000000
2,1949-07-01 0:00:00,-0.7746450,55.0000000,190.0000000,0.0000000
3,1950-07-01 0:00:00,-0.8224192,55.0000000,190.0000000,0.0000000
4,1951-07-01 0:00:00,-1.9636036,55.0000000,190.0000000,0.0000000
5,1952-07-01 0:00:00,-1.0253924,55.0000000,190.0000000,0.0000000
6,1953-07-01 0:00:00,-1.2831576,55.0000000,190.0000000,0.0000000
7,1954-07-01 0:00:00,-0.2798979,55.0000000,190.0000000,0.0000000
8,1955-07-01 0:00:00,-0.3495349,55.0000000,190.0000000,0.0000000
9,1956-07-01 0:00:00,-1.2758700,55.0000000,190.0000000,0.0000000
10,1957-07-01 0:00:00,0.2672120,55.0000000,190.0000000,0.0000000
11,1958-07-01 0:00:00,1.5660244,55.0000000,190.0000000,0.0000000
12,1959-07-01 0:00:00,-0.1568184,55.0000000,190.0000000,0.0000000
13,1960-07-01 0:00:00,-0.9209368,55.0000000,190.0000000,0.0000000
14,1961-07-01 0:00:00,-1.3768167,55.0000000,190.0000000,0.0000000
15,1962-07-01 0:00:00,-0.4332074,55.0000000,190.0000000,0.0000000
16,1963-07-01 0:00:00,0.4958268,55.0000000,190.0000000,0.0000000
17,1964-07-01 0:00:00,0.4431941,55.0000000,190.0000000,0.0000000
18,1965-07-01 0:00:00,-1.2089320,55.0000000,190.0000000,0.0000000
19,1966-07-01 0:00:00,-0.5360435,55.0000000,190.0000000,0.0000000
20,1967-07-01 0:00:00,-0.5087825,55.0000000,190.0000000,0.0000000
21,1968-07-01 0:00:00,-1.3689893,55.0000000,190.0000000,0.0000000
22,1969-07-01 0:00:00,-0.8928661,55.0000000,190.0000000,0.0000000
23,1970-07-01 0:00:00,0.6958309,55.0000000,190.0000000,0.0000000
24,1971-07-01 0:00:00,-0.5724815,55.0000000,190.0000000,0.0000000
25,1972-07-01 0:00:00,-2.1201520,55.0000000,190.0000000,0.0000000
26,1973-07-01 0:00:00,-0.9819368,55.0000000,190.0000000,0.0000000
27,1974-07-01 0:00:00,-0.4364463,55.0000000,190.0000000,0.0000000
28,1975-07-01 0:00:00,0.4232207,55.0000000,190.0000000,0.0000000
29,1976-07-01 0:00:00,-1.8178515,55.0000000,190.0000000,0.0000000
30,1977-07-01 0:00:00,1.3587327,55.0000000,190.0000000,0.0000000
31,1978-07-01 0:00:00,0.5395524,55.0000000,190.0000000,0.0000000
32,1979-07-01 0:00:00,0.7333485,55.0000000,190.0000000,0.0000000
33,1980-07-01 0:00:00,0.7876007,55.0000000,190.0000000,0.0000000
34,1981-07-01 0:00:00,0.8418528,55.0000000,190.0000000,0.0000000
35,1982-07-01 0:00:00,0.6537248,55.0000000,190.0000000,0.0000000
36,1983-07-01 0:00:00,-0.1703139,55.0000000,190.0000000,0.0000000
37,1984-07-01 0:00:00,0.9147289,55.0000000,190.0000000,0.0000000
38,1985-07-01 0:00:00,0.8032556,55.0000000,190.0000000,0.0000000
39,1986-07-01 0:00:00,0.5997425,55.0000000,190.0000000,0.0000000
40,1987-07-01 0:00:00,1.4496927,55.0000000,190.0000000,0.0000000
41,1988-07-01 0:00:00,0.2261855,55.0000000,190.0000000,0.0000000
42,1989-07-01 0:00:00,-1.0599411,55.0000000,190.0000000,0.0000000
43,1990-07-01 0:00:00,-0.6585832,55.0000000,190.0000000,0.0000000
44,1991-07-01 0:00:00,0.0008097,55.0000000,190.0000000,0.0000000
45,1992-07-01 0:00:00,-0.2145794,55.0000000,190.0000000,0.0000000
46,1993-07-01 0:00:00,0.0585707,55.0000000,190.0000000,0.0000000
47,1994-07-01 0:00:00,1.2213479,55.0000000,190.0000000,0.0000000
48,1995-07-01 0:00:00,-0.5158002,55.0000000,190.0000000,0.0000000
49,1996-07-01 0:00:00,2.0229840,55.0000000,190.0000000,0.0000000
50,1997-07-01 0:00:00,1.1471224,55.0000000,190.0000000,0.0000000
51,1998-07-01 0:00:00,1.1916577,55.0000000,190.0000000,0.0000000
52,1999-07-01 0:00:00,0.0537123,55.0000000,190.0000000,0.0000000
53,2000-07-01 0:00:00,-1.7887012,55.0000000,190.0000000,0.0000000
54,2001-07-01 0:00:00,0.8297068,55.0000000,190.0000000,0.0000000
55,2002-07-01 0:00:00,-0.3716677,55.0000000,190.0000000,0.0000000
56,2003-07-01 0:00:00,1.6532058,55.0000000,190.0000000,0.0000000
57,2004-07-01 0:00:00,0.7055477,55.0000000,190.0000000,0.0000000
58,2005-07-01 0:00:00,1.5193298,55.0000000,190.0000000,0.0000000
59,2006-07-01 0:00:00,-0.3052695,55.0000000,190.0000000,0.0000000
60,2007-07-01 0:00:00,-0.9446890,55.0000000,190.0000000,0.0000000
61,2008-07-01 0:00:00,-1.3120381,55.0000000,190.0000000,0.0000000
62,2009-07-01 0:00:00,-1.1673657,55.0000000,190.0000000,0.0000000
63,2010-07-01 0:00:00,0.0442654,55.0000000,190.0000000,0.0000000
64,2011-07-01 0:00:00,-0.3886721,55.0000000,190.0000000,0.0000000
65,2012-07-01 0:00:00,-2.3449881,55.0000000,190.0000000,0.0000000
66,2013-07-01 0:00:00,-1.1193215,55.0000000,190.0000000,0.0000000
