Year,Date,Julian_day
1985,16-May,136
1986,12-May,132
1987,09-May,129
1988,01-May,122
1989,29-Apr,119
1990,30-Apr,120
1991,30-Apr,120
1992,08-May,129
1993,29-Apr,119
1994,01-May,121
1995,30-Apr,120
1996,07-May,128
1997,04-May,124
1998,04-May,124
1999,08-May,128
2000,05-May,126
2001,08-May,128
2002,12-May,132
2003,07-May,127
2004,04-May,125
2005,29-Apr,119
2006,11-May,131
2007,04-May,124
2008,04-May,125
2009,03-May,123
2010,30-Apr,120
2011,07-May,127
2012,01-May,122
2013,15-May,135
2014,02-May,122
2015,04-May,124
2016,23-Apr,114
2017,03-May,123
2018,08-May,128
2019,23-Apr,113
2020,03-May,124
2021,06-May,126
